epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,102.477,1.90174,2.35777,0.00317,0.55857,0.55194,0.50944,0.31067,1.84856,1.26891,0.00427,0.0132166,0.00440552,0.0132166,0.00440552,0.0800674,0.0712564,0.0132166,0.00440552
2,177.445,1.89746,1.34563,0.0032,0.62264,0.5779,0.58234,0.34745,1.78744,1.15959,0.00433,0.0264194,0.00880647,0.0264194,0.00880647,0.0599369,0.042324,0.0264194,0.00880647
3,250.356,1.88114,1.30007,0.00317,0.60975,0.61443,0.6282,0.38565,1.77441,1.35981,0.00423,0.0395348,0.0131783,0.0395348,0.0131783,0.039719,0.0133624,0.0395348,0.0131783
4,324.581,1.89374,1.17794,0.00316,0.68156,0.66823,0.65289,0.38839,1.79838,0.98958,0.00429,0.0394766,0.0131589,0.0394766,0.0131589,0.0394766,0.0131589,0.0394766,0.0131589
5,399.793,1.88996,1.10702,0.00319,0.66437,0.6419,0.66449,0.39947,1.8219,0.98766,0.00431,0.0393455,0.0131152,0.0393455,0.0131152,0.0393455,0.0131152,0.0393455,0.0131152
6,474.532,1.87408,1.08761,0.00318,0.66894,0.67637,0.66159,0.38955,1.7568,0.99299,0.00417,0.0392144,0.0130715,0.0392144,0.0130715,0.0392144,0.0130715,0.0392144,0.0130715
7,552.1,1.89434,1.06465,0.0032,0.66903,0.65007,0.67038,0.40313,1.74511,0.93882,0.00414,0.0390833,0.0130278,0.0390833,0.0130278,0.0390833,0.0130278,0.0390833,0.0130278
8,626.783,1.86728,1.04098,0.00311,0.66892,0.68156,0.67927,0.41689,1.71143,0.92698,0.00397,0.0389521,0.012984,0.0389521,0.012984,0.0389521,0.012984,0.0389521,0.012984
9,700.655,1.88256,1.0488,0.00312,0.67805,0.67725,0.68255,0.41289,1.71256,0.92073,0.00408,0.038821,0.0129403,0.038821,0.0129403,0.038821,0.0129403,0.038821,0.0129403
10,777.539,1.86151,1.02766,0.0031,0.70806,0.68056,0.68914,0.42469,1.71001,0.90657,0.00407,0.0386899,0.0128966,0.0386899,0.0128966,0.0386899,0.0128966,0.0386899,0.0128966
11,851.03,1.84977,1.0092,0.00309,0.72727,0.6666,0.69817,0.43018,1.69024,0.90289,0.0039,0.0385588,0.0128529,0.0385588,0.0128529,0.0385588,0.0128529,0.0385588,0.0128529
12,927.346,1.86927,1.01578,0.00306,0.69918,0.68874,0.68549,0.42013,1.70113,0.89932,0.00394,0.0384276,0.0128092,0.0384276,0.0128092,0.0384276,0.0128092,0.0384276,0.0128092
13,1001.01,1.85564,0.98917,0.00305,0.69653,0.66963,0.6949,0.42582,1.69948,0.91592,0.00404,0.0382965,0.0127655,0.0382965,0.0127655,0.0382965,0.0127655,0.0382965,0.0127655
14,1078.52,1.84474,0.97836,0.00303,0.68516,0.70701,0.69393,0.42258,1.7056,0.88429,0.00402,0.0381654,0.0127218,0.0381654,0.0127218,0.0381654,0.0127218,0.0381654,0.0127218
15,1153.04,1.86084,0.98155,0.00306,0.69009,0.71356,0.70846,0.43075,1.69359,0.88086,0.00393,0.0380343,0.0126781,0.0380343,0.0126781,0.0380343,0.0126781,0.0380343,0.0126781
16,1230.55,1.85533,0.98359,0.00303,0.69856,0.67813,0.69156,0.42963,1.67845,0.87442,0.00387,0.0379032,0.0126344,0.0379032,0.0126344,0.0379032,0.0126344,0.0379032,0.0126344
17,1305.5,1.83564,0.96086,0.00298,0.70548,0.70096,0.70933,0.44233,1.68207,0.86528,0.00385,0.037772,0.0125907,0.037772,0.0125907,0.037772,0.0125907,0.037772,0.0125907
18,1383.18,1.83567,0.97499,0.00306,0.73233,0.68171,0.71558,0.44486,1.67459,0.87932,0.00392,0.0376409,0.012547,0.0376409,0.012547,0.0376409,0.012547,0.0376409,0.012547
19,1458.22,1.84908,0.97195,0.00298,0.66654,0.68492,0.70352,0.43988,1.66858,0.85733,0.00381,0.0375098,0.0125033,0.0375098,0.0125033,0.0375098,0.0125033,0.0375098,0.0125033
20,1535.4,1.84024,0.95261,0.00295,0.67308,0.69431,0.71422,0.44297,1.67577,0.85735,0.00379,0.0373787,0.0124596,0.0373787,0.0124596,0.0373787,0.0124596,0.0373787,0.0124596
21,1609.2,1.8293,0.95392,0.00297,0.65605,0.69601,0.70006,0.43705,1.66003,0.85062,0.00381,0.0372475,0.0124158,0.0372475,0.0124158,0.0372475,0.0124158,0.0372475,0.0124158
22,1687.86,1.84021,0.94915,0.00297,0.70585,0.6813,0.71201,0.44016,1.67265,0.84554,0.00387,0.0371164,0.0123721,0.0371164,0.0123721,0.0371164,0.0123721,0.0371164,0.0123721
23,1761.47,1.83199,0.95454,0.00298,0.7265,0.69789,0.71752,0.44643,1.65973,0.83918,0.00379,0.0369853,0.0123284,0.0369853,0.0123284,0.0369853,0.0123284,0.0369853,0.0123284
24,1835.64,1.8291,0.94027,0.00295,0.72676,0.70265,0.71469,0.44591,1.65404,0.83413,0.00377,0.0368542,0.0122847,0.0368542,0.0122847,0.0368542,0.0122847,0.0368542,0.0122847
25,1913.14,1.81272,0.93444,0.00293,0.69316,0.66345,0.70011,0.44137,1.6365,0.83153,0.00374,0.036723,0.012241,0.036723,0.012241,0.036723,0.012241,0.036723,0.012241
26,1987.24,1.81536,0.94361,0.00289,0.68821,0.71342,0.72018,0.44689,1.65979,0.82381,0.00378,0.0365919,0.0121973,0.0365919,0.0121973,0.0365919,0.0121973,0.0365919,0.0121973
27,2064.67,1.81367,0.9462,0.00293,0.72471,0.67401,0.7031,0.44219,1.64486,0.8329,0.00373,0.0364608,0.0121536,0.0364608,0.0121536,0.0364608,0.0121536,0.0364608,0.0121536
28,2138.66,1.80653,0.949,0.00294,0.72858,0.69604,0.71719,0.45444,1.62739,0.84364,0.00365,0.0363297,0.0121099,0.0363297,0.0121099,0.0363297,0.0121099,0.0363297,0.0121099
29,2215.45,1.81955,0.93961,0.00293,0.72167,0.70454,0.71303,0.45087,1.62254,0.85149,0.0037,0.0361986,0.0120662,0.0361986,0.0120662,0.0361986,0.0120662,0.0361986,0.0120662
30,2289.56,1.79638,0.93134,0.00296,0.71791,0.72353,0.72428,0.4585,1.62842,0.83829,0.00366,0.0360674,0.0120225,0.0360674,0.0120225,0.0360674,0.0120225,0.0360674,0.0120225
31,2366.73,1.7896,0.93169,0.00292,0.67401,0.71202,0.70753,0.44816,1.64071,0.8313,0.00373,0.0359363,0.0119788,0.0359363,0.0119788,0.0359363,0.0119788,0.0359363,0.0119788
32,2439.52,1.81645,0.94006,0.00286,0.70842,0.71405,0.71733,0.45472,1.62471,0.83523,0.00365,0.0358052,0.0119351,0.0358052,0.0119351,0.0358052,0.0119351,0.0358052,0.0119351
33,2512.28,1.80273,0.93458,0.00292,0.70926,0.71525,0.71326,0.46248,1.61107,0.83996,0.00363,0.0356741,0.0118914,0.0356741,0.0118914,0.0356741,0.0118914,0.0356741,0.0118914
34,2585.31,1.81187,0.92543,0.00292,0.72336,0.71662,0.71445,0.45414,1.6282,0.82521,0.00363,0.0355429,0.0118476,0.0355429,0.0118476,0.0355429,0.0118476,0.0355429,0.0118476
35,2658.49,1.825,0.93881,0.00286,0.71255,0.71274,0.72191,0.45205,1.62418,0.82871,0.00364,0.0354118,0.0118039,0.0354118,0.0118039,0.0354118,0.0118039,0.0354118,0.0118039
36,2731.29,1.80658,0.93736,0.00293,0.68822,0.71533,0.71255,0.45116,1.61454,0.82668,0.00365,0.0352807,0.0117602,0.0352807,0.0117602,0.0352807,0.0117602,0.0352807,0.0117602
37,2803.88,1.82462,0.93157,0.00286,0.69893,0.73735,0.71558,0.45686,1.6244,0.82414,0.00364,0.0351496,0.0117165,0.0351496,0.0117165,0.0351496,0.0117165,0.0351496,0.0117165
38,2876.82,1.81033,0.93354,0.00286,0.70455,0.71815,0.721,0.46174,1.61881,0.83381,0.00361,0.0350184,0.0116728,0.0350184,0.0116728,0.0350184,0.0116728,0.0350184,0.0116728
39,2949.64,1.79568,0.93006,0.00286,0.70525,0.71795,0.71888,0.4574,1.61349,0.82043,0.00362,0.0348873,0.0116291,0.0348873,0.0116291,0.0348873,0.0116291,0.0348873,0.0116291
40,3023.06,1.83353,0.93715,0.00292,0.70547,0.71818,0.71749,0.45602,1.61009,0.83675,0.00362,0.0347562,0.0115854,0.0347562,0.0115854,0.0347562,0.0115854,0.0347562,0.0115854
41,3095.89,1.79785,0.92949,0.00289,0.7176,0.69983,0.72477,0.45712,1.59972,0.82944,0.0036,0.0346251,0.0115417,0.0346251,0.0115417,0.0346251,0.0115417,0.0346251,0.0115417
42,3168.52,1.8031,0.93182,0.00282,0.71756,0.70585,0.72771,0.463,1.61353,0.81374,0.00362,0.034494,0.011498,0.034494,0.011498,0.034494,0.011498,0.034494,0.011498
43,3241.4,1.80909,0.919,0.00288,0.70812,0.69138,0.72065,0.45812,1.61319,0.81823,0.00356,0.0343628,0.0114543,0.0343628,0.0114543,0.0343628,0.0114543,0.0343628,0.0114543
