epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,147.499,1.83518,3.0059,0.00303,0.82895,0.40207,0.49531,0.31916,1.60755,1.14682,0.00363,0.00132533,0.000441776,0.00132533,0.000441776,0.0680841,0.0672005,0.00132533,0.000441776
2,265.116,1.77359,1.28065,0.0028,0.6166,0.64001,0.64392,0.4125,1.56872,0.9044,0.00346,0.0026456,0.000881866,0.0026456,0.000881866,0.036071,0.0343073,0.0026456,0.000881866
3,379.427,1.7223,1.07497,0.0026,0.70925,0.66514,0.69174,0.45103,1.51316,0.81436,0.00333,0.00395713,0.00131904,0.00395713,0.00131904,0.00404921,0.00141112,0.00395713,0.00131904
4,490.762,1.66139,0.95737,0.00252,0.74605,0.66532,0.71962,0.46437,1.50619,0.76995,0.00327,0.00394766,0.00131589,0.00394766,0.00131589,0.00394766,0.00131589,0.00394766,0.00131589
5,602.164,1.64975,0.93072,0.00249,0.73217,0.74171,0.73072,0.47473,1.46633,0.75165,0.00318,0.00393455,0.00131152,0.00393455,0.00131152,0.00393455,0.00131152,0.00393455,0.00131152
6,712.823,1.62947,0.86324,0.00243,0.753,0.74178,0.75203,0.49691,1.44953,0.73362,0.00312,0.00392144,0.00130715,0.00392144,0.00130715,0.00392144,0.00130715,0.00392144,0.00130715
7,821.877,1.61028,0.85113,0.00239,0.72654,0.74766,0.76112,0.4882,1.46375,0.72675,0.00312,0.00390833,0.00130278,0.00390833,0.00130278,0.00390833,0.00130278,0.00390833,0.00130278
8,930.18,1.61192,0.83158,0.0024,0.73229,0.78764,0.76458,0.49952,1.44099,0.69203,0.00311,0.00389521,0.0012984,0.00389521,0.0012984,0.00389521,0.0012984,0.00389521,0.0012984
9,1042.19,1.56554,0.80995,0.00237,0.76237,0.77651,0.76628,0.50647,1.43794,0.68696,0.00309,0.0038821,0.00129403,0.0038821,0.00129403,0.0038821,0.00129403,0.0038821,0.00129403
10,1154.42,1.58562,0.80128,0.00232,0.76344,0.78617,0.77954,0.5129,1.42213,0.67676,0.00302,0.00386899,0.00128966,0.00386899,0.00128966,0.00386899,0.00128966,0.00386899,0.00128966
11,1264.83,1.57143,0.78676,0.00231,0.78031,0.78622,0.77929,0.51457,1.41217,0.67011,0.00298,0.00385588,0.00128529,0.00385588,0.00128529,0.00385588,0.00128529,0.00385588,0.00128529
12,1376.9,1.57519,0.79303,0.00229,0.77904,0.75134,0.76908,0.51354,1.40663,0.68823,0.00294,0.00384276,0.00128092,0.00384276,0.00128092,0.00384276,0.00128092,0.00384276,0.00128092
13,1490.1,1.54796,0.75749,0.00227,0.71568,0.80574,0.77,0.50711,1.41078,0.66457,0.00297,0.00382965,0.00127655,0.00382965,0.00127655,0.00382965,0.00127655,0.00382965,0.00127655
14,1601.7,1.55304,0.77246,0.00222,0.75122,0.79194,0.78413,0.51986,1.39818,0.66876,0.00294,0.00381654,0.00127218,0.00381654,0.00127218,0.00381654,0.00127218,0.00381654,0.00127218
15,1713.08,1.54126,0.77157,0.00223,0.77251,0.80674,0.78568,0.53231,1.38733,0.6478,0.00294,0.00380343,0.00126781,0.00380343,0.00126781,0.00380343,0.00126781,0.00380343,0.00126781
16,1825.04,1.51916,0.75224,0.0022,0.74203,0.79647,0.78146,0.52438,1.38126,0.66113,0.00288,0.00379032,0.00126344,0.00379032,0.00126344,0.00379032,0.00126344,0.00379032,0.00126344
17,1936.77,1.53117,0.73731,0.00218,0.76443,0.78953,0.7916,0.53377,1.38921,0.6576,0.0029,0.0037772,0.00125907,0.0037772,0.00125907,0.0037772,0.00125907,0.0037772,0.00125907
18,2046.5,1.49991,0.73416,0.00217,0.74684,0.8092,0.7869,0.52859,1.3759,0.66519,0.00289,0.00376409,0.0012547,0.00376409,0.0012547,0.00376409,0.0012547,0.00376409,0.0012547
19,2156.08,1.51091,0.73312,0.00217,0.737,0.79556,0.7872,0.53118,1.39046,0.65744,0.0029,0.00375098,0.00125033,0.00375098,0.00125033,0.00375098,0.00125033,0.00375098,0.00125033
20,2264.96,1.50943,0.72804,0.00216,0.7523,0.8104,0.79646,0.53409,1.36276,0.65494,0.00283,0.00373787,0.00124596,0.00373787,0.00124596,0.00373787,0.00124596,0.00373787,0.00124596
21,2373.64,1.48422,0.72152,0.00215,0.75397,0.80137,0.80005,0.54517,1.37866,0.63832,0.00286,0.00372475,0.00124158,0.00372475,0.00124158,0.00372475,0.00124158,0.00372475,0.00124158
22,2482.58,1.49527,0.72704,0.00216,0.78711,0.7845,0.7981,0.53985,1.36614,0.64765,0.00283,0.00371164,0.00123721,0.00371164,0.00123721,0.00371164,0.00123721,0.00371164,0.00123721
23,2591.81,1.49669,0.72042,0.00209,0.75448,0.81618,0.79885,0.53978,1.36666,0.64519,0.00281,0.00369853,0.00123284,0.00369853,0.00123284,0.00369853,0.00123284,0.00369853,0.00123284
24,2700.62,1.50961,0.73433,0.00215,0.75839,0.82337,0.80114,0.54425,1.3589,0.63501,0.0028,0.00368542,0.00122847,0.00368542,0.00122847,0.00368542,0.00122847,0.00368542,0.00122847
25,2810.01,1.47773,0.71607,0.00213,0.759,0.81046,0.79498,0.54039,1.37001,0.63668,0.00283,0.0036723,0.0012241,0.0036723,0.0012241,0.0036723,0.0012241,0.0036723,0.0012241
26,2919.4,1.45721,0.70843,0.00206,0.74763,0.81481,0.79871,0.54552,1.35982,0.62827,0.00279,0.00365919,0.00121973,0.00365919,0.00121973,0.00365919,0.00121973,0.00365919,0.00121973
27,3027.18,1.47312,0.69458,0.0021,0.73366,0.81388,0.7975,0.54228,1.36106,0.63346,0.00279,0.00364608,0.00121536,0.00364608,0.00121536,0.00364608,0.00121536,0.00364608,0.00121536
