fitness,lr0,lrf,momentum,weight_decay,degrees,scale,flipud,fliplr,mosaic,hsv_s,hsv_v
0.50771,0.01,0.01,0.937,0.0005,0.0,0.5,0.0,0.5,1.0,0.7,0.4
0.52849,0.01414,0.01,0.73572,0.0,0.0,0.49136,0.01277,0.48977,0.67382,0.5764,0.40222
0.51644,0.02948,0.01591,0.74888,0.0005,0.0,0.48627,0.01992,0.48762,0.67977,0.61809,0.34124
0.52302,0.02719,0.01229,0.7,0.0005,0.0,0.45266,0.00722,0.46572,0.67362,0.65302,0.40366
0.50637,0.0356,0.01,0.74795,0.00019,0.00076,0.59043,0.02051,0.48906,0.63401,0.60396,0.39012
0.49064,0.02851,0.01316,0.90148,0.0,0.0,0.48278,0.01171,0.48943,1.0,0.624,0.24968
0.52058,0.02147,0.01,0.72842,0.00036,0.00085,0.5993,0.01591,0.4002,0.64591,0.59425,0.3585
0.52616,0.02419,0.01218,0.73939,0.0,0.00055,0.56369,0.01398,0.5,0.66037,0.59108,0.28047
0.51827,0.03172,0.01077,0.7,9e-05,0.0007,0.51202,0.01301,0.49966,0.6515,0.55468,0.24791
0.50089,0.0333,0.01269,0.8334,0.0001,0.0,0.50981,0.00702,0.49289,0.90053,0.55192,0.40266
0.52247,0.02301,0.01131,0.8113,0.00037,1e-05,0.42979,0.01359,0.47683,0.6581,0.62606,0.29073
0.53572,0.01402,0.01292,0.73249,0.0,0.00029,0.47927,0.00675,0.41595,0.66729,0.63265,0.25678
0.53609,0.0134,0.01,0.7,0.0005,0.00083,0.40121,0.02234,0.39648,0.6849,0.84035,0.32783
0.5379,0.01329,0.01337,0.7198,0.0005,0.00062,0.32768,0.01632,0.41356,0.7285,0.68914,0.32452
0.52094,0.02034,0.0156,0.7,3e-05,0.00087,0.70098,0.02244,0.36536,0.73832,0.9,0.41274
0.52172,0.02032,0.0143,0.70253,4e-05,0.00077,0.46077,0.02081,0.37183,0.65297,0.57268,0.39046
0.52409,0.01316,0.01123,0.85143,0.0003,0.00071,0.33338,0.00485,0.5,0.70265,0.79953,0.23697
0.53142,0.01676,0.01085,0.7,0.0,0.00031,0.31524,0.02229,0.5,0.70942,0.71361,0.41507
0.51474,0.02058,0.01,0.80813,0.00018,0.0,0.30486,0.0073,0.42745,0.65029,0.75416,0.31642
0.53442,0.01396,0.01276,0.7,0.0005,0.0,0.47214,0.02349,0.43964,0.721,0.85286,0.37177
0.53072,0.01893,0.01066,0.7,0.00023,0.00023,0.39029,0.01303,0.42257,0.75664,0.64726,0.24055
0.53723,0.0193,0.01132,0.7,1e-05,0.0,0.39768,0.00626,0.35611,0.59024,0.71026,0.31054
0.53094,0.01969,0.01245,0.72044,0.0,0.00095,0.57864,0.00398,0.41244,1.0,0.61646,0.2
0.53092,0.01474,0.01,0.73859,0.0,0.00113,0.54916,0.01151,0.5,0.62137,0.67428,0.29803
0.51908,0.02185,0.01228,0.7,0.00031,0.00086,0.32362,0.00283,0.34562,0.66875,0.62118,0.2
0.53212,0.014,0.0128,0.7,0.00023,0.0,0.40424,0.01003,0.41943,0.84479,0.81647,0.30907
0.53749,0.0132,0.01,0.71043,0.00041,0.00085,0.31188,0.00367,0.36291,0.73044,0.74988,0.35954
0.53034,0.01378,0.01,0.70489,2e-05,0.00056,0.4726,0.00326,0.44613,0.67964,0.73446,0.52723
0.5348,0.01499,0.01012,0.71437,0.0003,0.00075,0.36682,0.0185,0.36192,0.61714,0.6836,0.34014
0.52576,0.02368,0.0105,0.7021,0.00024,0.00094,0.39196,0.00921,0.30875,0.595,0.80654,0.33302
